name,date_published,citation,source,abstract
Body fat composition assessment using analytic morphomics predicts infectious complications after bowel resection in Crohn&#39;s disease,2015-06-00,Inflamm Bowel Dis. 2015 Jun&#59;21(6)&#58;1306-13. doi&#58; 10.1097/MIB.0000000000000360.,https://www.ncbi.nlm.nih.gov/pubmed/25822011,"BACKGROUND Decisions between medical and surgical management of Crohn's disease (CD) incorporate risk assessments for potential complications of each therapy. Analytic morphomics is a novel method of image analysis providing quantifiable measurements of body tissue composition, characterizing body fat more comprehensively than body mass index alone. The aim of this study was to determine the risk factors associated with postoperative complications in CD, incorporating fat composition analysis using analytic morphomics. METHODS We performed a retrospective review of adults undergoing bowel resection for CD between 2004 and 2011 at a single center. Computed tomography obtained within 30 days prior to surgery underwent morphomic analysis for fat characterization. Postoperative infectious complications were defined as the need for a postoperative abdominal drain, intravenous antibiotics, or reoperation within 30 days. Bivariate and multivariate analyses using logistic regression were used to generate a prediction model of infectious complications. RESULTS A total of 269 subjects met selection criteria&#59; 27&#37; incurred postoperative infectious complications. Bivariate analysis showed hemoglobin, albumin, surgical urgency, high-dose prednisone use, and subcutaneous-to-visceral fat volume distribution as predictors of complications. Body mass index, anti-tumor necrosis factor alpha therapies, and immunomodulator use were not predictors of complication. Multivariate modeling demonstrated a c-statistic of 0.77 and a negative predictive value of 81.1&#37; with surgical urgency (odds ratio &#61; 2.78&#58; 95&#37; confidence interval, 1.46-6.02&#59; P &#61; 0.004), subcutaneous-to-visceral fat distribution (odds ratio &#61; 2.01&#59; 95&#37; confidence interval, 1.20-3.19&#59; P &#61; 0.006), and hemoglobin (odds ratio &#61; 0.69&#59; 95&#37; confidence interval, 0.55-0.85&#59; P &#61; 0.001) as predictors of infectious complication. CONCLUSIONS Fat subtype and distribution are predictive of postoperative infectious complications after bowel resection for CD. Analytic morphomics provides additional body composition detail not captured by body mass index."
Predicting Wound Complications with Preoperative CT Scans,2015-00-00,Academic Surgical Congress. 2015&#59; Abstract id&#58;ASC20160231.,http://www.asc-abstracts.org/abs2016/66-19-predicting-wound-complications-with-preoperative-ct-scans/,"INTRODUCTION Wound complications – such as incisional hernia, ventral hernia, and wound dehiscence– are common following major abdominal surgery. Despite advances in surgical care, these complications remain prevalent. We hypothesized that analytic morphomics, a novel objective risk assessment tool, would explain the relationship between preoperative tissue composition and postoperative wound complications. METHODS This is an observational study of 1,409 patients undergoing major abdominal surgery and who had a preoperative CT scan, all selected from the Michigan Surgical Quality Collaborative Database. The primary outcome is a composite of local wound complications, including incisional hernia, ventral hernia, wound dehiscence and major wound complications. Analytic morphomic measures of a single slice at the L4 vertebral level were investigated, along with variables related to patient demographics, medical history, admissions status, and comorbid disease. A p &#60; 0.05 threshold in univariate analysis was employed for considering variables to be included in multivariable analysis. RESULTS Wound complications occurred in 11.9&#37; of patients. Analytic morphomic variables associated with wound complications are detailed in the figure. The final, single-slice model was assembled via backwards stepwise selection, and included 4 preoperative variables&#58; subcutaneous fat area &#64; L4 (odds ratio [OR] &#61; 1.67, 95% confidence interval [Cl] 1.03-2.78, P &#61; 0.040), pack-years (OR &#61; 1.18, 95&#37; CI 0.99-1.38, P &#61; 0.046), albumin (OR &#61; 0.84, 95&#37; CI 0.72-1.00, P &#61; 0.044), and immunosuppressive therapy (OR &#61; 1.97, 95&#37; CI 1.15-3.26, P &#61; 0.010). CONCLUSION Patients with a large subcutaneous fat area have a higher risk of wound complication. This may inform surgeon decision-making in the operating room."
Analytic morphomics identifies predictors of new-onset diabetes after liver transplantation,2015-05-00,Clin Transplant. 2015 May&#59;29(5)&#58;458-64. doi&#58; 10.1111/ctr.12537. Epub 2015 Apr 16.,https://www.ncbi.nlm.nih.gov/pubmed/25740081,"Among liver transplant recipients, development of post-transplant complications such as new-onset diabetes after transplantation (NODAT) is common and highly morbid. Current methods of predicting patient risk are inaccurate in the pre-transplant period, making implementation of targeted therapies difficult. We sought to determine whether analytic morphomics (using computed tomography scans) could be used to predict the incidence of NODAT. We analyzed peri-transplant scans from 216 patients with varying indications for liver transplantation, among whom 61 (28&#37;) developed NODAT. Combinations of visceral fat, subcutaneous fat, and psoas area were considered in addition to traditional risk factors. On multivariate analysis adjusting for usual risk factors such as type of immunosuppression, subcutaneous fat thickness remained significantly associated with NODAT (OR &#61; 1.43, 95&#37; CI 1.00-1.88, p &#61; 0.047). Subgroup analysis showed that patients with later-onset of NODAT had higher visceral fat, whereas subcutaneous fat thickness was more correlated with earlier-onset of NODAT (using 10 months post-transplant as the cut-off). CONCLUSION Analytic morphomics may be used to help assess NODAT risk in patients undergoing liver transplantation."
Morphomic analysis as an aid for preoperative risk stratification in patients undergoing major head and neck cancer surgery,2015-03-00,J Surg Res. 2015 Mar&#59;194(1)&#58;177-84. doi&#58; 10.1016/j.jss.2014.10.002. Epub 2014 Oct 7.,https://www.ncbi.nlm.nih.gov/pubmed/25456114,"BACKGROUND Patients undergoing major head and neck cancer surgery (MHNCS) may develop significant postoperative complications. To minimize the risk of complications, clinicians often assess multiple measures of preoperative health in terms of medical comorbidities. One emerging method to decrease surgical complications is preoperative assessment of patient frailty measured by specific tissue characteristics. We hypothesize that morphomic characteristics of the temporalis region serve as predictive markers for the development of complications after MHNCS. METHODS We performed a retrospective review of 69 patients with available computed tomography (CT) imaging who underwent MHNCS from 2006-2012. To measure temporalis region characteristics, we used morphomic analysis of available preoperative CT scans to map out the region. All available CT scans had been performed as part of the patient's routine work-up and were not ordered for morphomic analysis. We describe the correlation among temporalis fat pad volume (TFPV), mean zygomatic arch thickness, and incidence of postoperative complications. RESULTS We noted significant difference in the zygomatic bone thickness and TFPV between patients who had medical complications, surgical complications, or total major complications and those who did not. Furthermore, by use of binary logistic regression, our data suggest decreased TFPV and zygomatic arch thickness are stronger predictors of developing postoperative complications than previously studies preoperative characteristics. CONCLUSIONS We describe morphomic analysis of the temporalis region in patients undergoing MHNCS to identify patients at risk for complications. Regional anatomic morphology may serve as a marker to objectively determine a patient&#39;s overall health. Use of the temporalis region is appropriate in patients undergoing MHNCS because of the availability of preoperative scans as part of routine work up for head and/or neck cancer."
Visceral adiposity is negatively associated with bone density and muscle attenuation,2015-02-00,Am J Clin Nutr. 2015 Feb&#59;101(2)&#58;337-43. doi&#58; 10.3945/ajcn.113.081778. Epub 2014 Nov 26.,http://www.ncbi.nlm.nih.gov/pubmed/25646331,"BACKGROUND The storage of adipose tissue in ectopic compartments is a hallmark attribute linking greater body mass index (BMI) with cardiometabolic diseases. Despite ample evidence to confirm that increased visceral adipose tissue (VAT) deposition occurs with obesity, the interrelations between altered fat partitioning and regional muscle and bone quality are less well understood. OBJECTIVE We examined the association between adiposity and spinal muscle and bone quality across a large, heterogeneous cohort of adults. DESIGN We identified 8833 thoracic or abdominal computed tomography scans from patients in the University of Michigan Health System who were aged 18-64.9 y. We measured trabecular bone densities, cortical bone densities, VAT areas, and subcutaneous adipose tissue (SAT) areas at vertebral levels T7 to L5. Psoas muscle attenuation (an indicator of fat infiltration in muscle) was measured at the L4 level. RESULTS Muscle attenuation as well as trabecular and cortical bone densities revealed negative correlations with BMI, SAT, and VAT. The correlation between BMI and psoas attenuation was -0.321, between BMI and the density of cortical bone was -0.250, and between BMI and trabecular bone was -0.143 (all P &#60; 0.001). However, correlations between VAT and lower muscle attenuation were stronger as were those between VAT and lower bone densities. Inverse correlations between VAT and densities of psoas muscle and cortical and trabecular bone were -0.460, -0.407, and -0.434, respectively (P &#60; 0.001). Even after adjustment for age, sex, and BMI, partial correlations between VAT, muscle attenuation, and bone densities remained significant at -0.250, -0.119, and -0.216, respectively (P &#60; 0.001). CONCLUSIONS Contrary to previous reports that high body mass is associated with increased bone quality, our data show a significant negative association between BMI and muscle and bone densities, suggesting fat infiltration into these tissues. More importantly, correlations between VAT and decreased bone and muscle densities remained statistically significant even after adjustment for age, sex, and BMI."
"Use of analytic morphomics of liver, spleen, and body composition to identify patients at risk for cirrhosis",2015-02-00,Clin Gastroenterol Hepatol. 2015 Feb&#59;13(2)360-368.e5. doi&#58; 10.1016/j.cgh.2014.07.042. Epub 2014 Jul 30.,http://www.ncbi.nlm.nih.gov/pubmed/25083565,"BACKGROUND & AIMS A diagnosis of cirrhosis can be made on the basis of findings from imaging studies, but these are subjective. Analytic morphomics uses computational image processing algorithms to provide precise and detailed measurements of organs and body tissues. We investigated whether morphomic parameters can be used to identify patients with cirrhosis. METHODS In a retrospective study, we performed analytic morphomics on data collected from 357 patients evaluated at the University of Michigan from 2004 to 2012 who had a liver biopsy within 6 months of a computed tomography scan for any reason. We used logistic regression with elastic net regularization and cross-validation to develop predictive models for cirrhosis, within 80&#37; randomly selected internal training set. The other 20&#37; data were used as internal test set to ensure that model overfitting did not occur. In validation studies, we tested the performance of our models on an external cohort of patients from a different health system. RESULTS Our predictive models, which were based on analytic morphomics and demographics (morphomics model) or analytic morphomics, demographics, and laboratory studies (full model), identified patients with cirrhosis with area under the receiver operating characteristic curve (AUROC) values of 0.91 and 0.90, respectively, compared with 0.69, 0.77, and 0.76 for aspartate aminotransferase-to-platelet ratio, Lok Score, and FIB-4, respectively, by using the same data set. In the validation set, our morphomics model identified patients who developed cirrhosis with AUROC value of 0.97, and the full model identified them with AUROC value of 0.90. CONCLUSIONS We used analytic morphomics to demonstrate that cirrhosis can be objectively quantified by using medical imaging. In a retrospective analysis of multi-protocol scans, we found that it is possible to identify patients who have cirrhosis on the basis of analyses of preexisting scans, without significant additional risk or cost."
Effects of aging on osteogenic response and heterotopic ossification following burn injury in mice,2015-01-15,Stem Cells Dev. 2015 Jan 15&#59;24(2)&#58;205-13. doi&#58; 10.1089/scd.2014.0291.,http://www.ncbi.nlm.nih.gov/pubmed/25122460,"Heterotopic ossification (HO) is a common and debilitating complication of burns, traumatic brain injuries, and musculoskeletal trauma and surgery. Although the exact mechanism of ectopic bone formation is unknown, mesenchymal stem cells (MSCs) capable of osteogenic differentiation are known to play an essential role. Interestingly, the prevalence of HO in the elderly population is low despite the high overall occurrence of musculoskeletal injury and orthopedic procedures. We hypothesized that a lower osteogenicity of MSCs would be associated with blunted HO formation in old compared with young mice. In vitro osteogenic differentiation of adipose-derived MSCs from old (18-20 months) and young (6-8 weeks) C57/BL6 mice was assessed, with or without preceding burn injury. In vivo studies were then performed using an Achilles tenotomy with concurrent burn injury HO model. HO formation was quantified using &#181;CT scans, Raman spectroscopy, and histology. MSCs from young mice had more in vitro bone formation, upregulation of bone formation pathways, and higher activation of Smad and nuclear factor kappa B (NF-&#954;B) signaling following burn injury. This effect was absent or blunted in cells from old mice. In young mice, burn injury significantly increased HO formation, NF-&#954;B activation, and osteoclast activity at the tenotomy site. This blunted, reactive osteogenic response in old mice follows trends seen clinically and may be related to differences in the ability to mount acute inflammatory responses. This unique characterization of HO and MSC osteogenic differentiation following inflammatory insult establishes differences between age populations and suggests potential pathways that could be targeted in the future with therapeutics."
Morphomic Factors are Important for Assessing Risk of Cardiovascular Complications in Trauma Patients,2015-00-00,Academic Surgical Congress Abstracts. 2015.,http://www.asc-abstracts.org/abstracts/9-20-morphomic-factors-are-important-for-assessing-risk-of-cardiovascular-complications-in-trauma-patients/,"BACKGROUND Motor vehicle crashes (MVCs) are a major cause of traumatic injury in the US, and in- hospital cardiac complications are associated with increased morbidity and mortality in this population. Risk of cardiovascular complications is often difficult to predict using only injury severity and vital signs upon presentation to the trauma center. The utility of analytic morphomics have previously been established in perioperative risk assessment and may provide improved clinical insight in the trauma setting. We hypothesized that morphomic factors may serve as significant predictors of in-hospital cardiac complications for patients involved in MVCs. METHODS Our study included 3,187 MVC adult patients admitted to the University of Michigan Health System who underwent an abdominal CT scan near the time of injury. Exclusion criteria include ISS less than 5 or head-and-neck AIS of 5 or greater. Morphomic factors were measured at the L4 vertebral level using established algorithms. We utilized univariate analysis to determine the relationship of patient demographics, comorbidities, morphomics, and vital signs upon hospital admission with the development of cardiac complications, defined as myocardial infarction (MI), cerebrovascular accident (CVA), and other cardiac events. Injury severity was stratified by mild (5&#60;ISS&#60;16), moderate (16&#60;ISS&#60;25), and severe (ISS&#62;25) trauma. RESULTS Of the 3,187 eligible patients in our study, 121 (3.8&#37;) developed cardiovascular complications. CVA and MI history, bone mineral density, and BMI were significant predictors of cardiovascular events (p&#60;0.05) in mild trauma. Decreased average psoas radiodensity and increased age were found to be significant predictors for cardiovascular events (p&#60;0.01) in moderate trauma. Glasgow Coma Scale and increased anterior body depth were the two most significant predictors of cardiovascular events in severe trauma (p&#60;0.05). Table 1 shows the results of the univariate analysis between the complications and non- complications group for all three levels of trauma. Non-significant predictors of cardiovascular complications across all trauma levels include gender (p&#61;0.17, 1.0, 0.11) and history of diabetes (p&#61;0.37, 0.65, 0.19) or hypertension (p&#61;0.50, 0.07, 0.35). DISCUSSION/CONCLUSION Following a MVC, in-hospital cardiovascular events are serious, life-threatening complications. Psoas radiodensity, bone mineral density, and anterior body depth are significant factors associated with cardiovascular complications. Thus, morphomic factors obtained from cross-sectional imaging are significant predictors of cardiovascular events and may aid clinical decision making for higher risk patients."
Kidney-specific Morphomic Factors are Associated with AKI after Major General Surgery Operations,2015-00-00,Academic Surgical Congress Abstracts. 2015.,http://www.asc-abstracts.org/abstracts/64-20-kidney-specific-morphomic-factors-are-associated-with-aki-after-major-general-surgery-operations/,"BACKGROUND Acute kidney injury (AKI) occurs in approximately 20&#37; of hospitalized adults in the US and is associated with increased morbidity, mortality, and cost for patients of general surgery procedures. Numerous studies have suggested the utility of using patient CT imaging data to predict risk of AKI. Analytic Morphomics, which is a quantitative approach to processing cross-sectional imaging data, has shown utility in evaluating perioperative risk and postoperative outcome. Thus, we hypothesized that individualized morphomic factors would be significantly associated with AKI after major general surgery procedures. METHODS 326 adult patients undergoing major, elective, intra-abdominal general surgery operations from January 2008 to September 2011 were selected. Exclusion criteria include patients undergoing isolated appendectomy or cholecystectomy procedures, patients with a preoperative creatinine value of 1.6 or greater, a history of ESRD, or a prior nephrectomy. Preoperative CT scans within 365 days prior to the operation were analyzed for kidney, vertebral, and fascia-associated parameters such as length, area, volume, and radiodensity. Demographic factors include patient age, gender, and BMI. Univariate analysis was utilized to determine the strength of the association between patient morphomic and demographic factors and development of postoperative AKI as defined by the KDIGO criteria within 30 days of the surgery. RESULTS Of the 238 eligible patients, 31 (13&#37;) developed AKI. Average pixel radiodensity of the total kidney (p&#60;0.001) and kidney parenchyma (p&#60;0.001) were found to be significantly lower for the group that developed postoperative AKI than for those that did not. No significant differences between AKI and non-AKI patients were found for total kidney volume (p&#61;0.19), parenchymal volume (p&#61;0.16), anterior body depth (p&#61;0.32), and patient demographic factors (p&#62;0.15). Table 1 contains the results of the univariate analysis including the means between the AKI and non-AKI group of several factors. CONCLUSION For patients undergoing noncardiac, nonvascular surgical procedures, our analysis showed that kidney pixel radiodensity factors are the most significant in predicting postoperative AKI risk."
Image Related Factors Important for AKI Risk Assessment After Colectomies,2015-00-00,Academic Surgical Congress Abstracts. 2015.,http://www.asc-abstracts.org/abstracts/29-06-image-related-factors-important-for-aki-risk-assessment-after-colectomies/,"INTRODUCTION Acute kidney injury (AKI) occurs in approximately 20&#37; of hospitalized adults and costs the US &#36;10 billion annually. Prolonged hospital stay, cost, and mortality have been shown to be increased in these patients and those requiring renal replacement therapy have an even higher mortality rate. In the setting of colon surgery, a recent large scale study found several associated factors with postoperative AKI including advanced age, chronic renal failure, and total colectomy. However, a surgical decision informed by standard clinical data alone may not be sufficient. We set out to study the relationship between AKI and quantitative kidney morphomic factors from cross-sectional preoperative imaging for patients undergoing colectomies and comparing the results with demographic and intra-operative data. We hypothesized that individualized kidney characteristics would correlate with the risk of postoperative AKI development. METHODS A retrospective review of prospectively gathered data from adult patients undergoing colectomies from 2006-2012 at the University of Michigan was conducted. 390 initial subjects without elevated baseline creatinine values, ESRD, a prior nephrectomy, or renal injury were included. Polycystic kidneys or other kidney abnormalities identified on imaging were excluded resulting in 326 subjects. AKI was defined by the KDIGO criteria within 30 days of injury. Demographic and intraoperative factors were evaluated along with measurements of pertinent kidney morphomic data including volume, surface area, and average Hounsfield Units (HU) which were subjected to univariate analyses. RESULTS Of the 326 patients, 60 developed AKI (18.4&#37;). Of demographic factors, advanced age (p&#61;0.0002) and a higher BMI (p&#61;0.02) were associated with AKI. Comorbidities associated with AKI included hypertension (p&#61;0.008) and diabetes (p&#61;0.013). Interestingly, intraoperative factors including surgical time (p&#61;0.13), blood transfusions (p&#61;0.14), blood loss (p&#61;0.42), and hypotensive episodes (p&#61;0.17) were not significantly associated with AKI. Table 1 shows the results of the univariate analysis of the morphomic factors. CONCLUSION AKI is a serious complication and the prevalence after colorectal surgery at our institution was 18.4&#37;. Our analysis shows that a lower average parenchymal HU was the most significant morphomic factor associated with postoperative AKI. This study is the first to provide information that morphomic analysis can be useful in clinical practice to determine which patients are at risk for developing AKI after a colectomy."
Cross-sectional area of the abdomen predicts complication incidence in patients undergoing sternal reconstruction,2014-12-00,J Surg Res. 2014 Dec&#59;192(2)&#58;670-7. doi&#58; 10.1016/j.jss.2014.05.041. Epub 2014 May 24,https://www.ncbi.nlm.nih.gov/pubmed/24972736,"BACKGROUND Sternal reconstruction with vascularized flaps is central to the management of sternal wound infections and mediastinitis but carries a high risk of complications. There is a need to identify reliable predictors of complication risk to help inform patients and clinicians in preparation for surgery. Unfortunately, body mass index and serum albumin may not be reliable predictors of complication rates. Analytic morphomics provides a robust quantitative method to measure patients&#39; obesity as it pertains to their risk of complications in undergoing sternal reconstruction. METHODS We identified 34 patients with preoperative computed tomography scans of the abdomen from a cohort of sternal reconstructions performed between 1997 and 2010. Using semiautomated analytic morphomics, we identified the patients&#39; skin and fascia layers between the ninth and 12th thoracic spine levels&#59; from these landmarks, we calculated morphomic measurements of the patients&#39; abdomens, including their total body cross sectional area and the cross sectional area of their subcutaneous fat. We obtained the incidence of complications from chart review and correlated the incidence of complications (including seroma, hematoma, recurrent wounds, mediastinitis, tracheostomy, and death) with patients&#39; morphomic measurements. RESULTS We identified 34 patients with preoperative computed tomography scans of the abdomen from a cohort of sternal reconstructions performed between 1997 and 2010. Using semiautomated analytic morphomics, we identified the patients&#39; skin and fascia layers between the ninth and 12th thoracic spine levels&#59; from these landmarks, we calculated morphomic measurements of the patients&#39; abdomens, including their total body cross sectional area and the cross sectional area of their subcutaneous fat. We obtained the incidence of complications from chart review and correlated the incidence of complications (including seroma, hematoma, recurrent wounds, mediastinitis, tracheostomy, and death) with patients&#39; morphomic measurements. CONCLUSIONS Increases in abdominal morphomic measurements correlate strongly with the incidence of complications in patients undergoing sternal reconstruction. This finding may influence preoperative risk stratification and surgical decision making in this patient population."
Morphomic analysis for preoperative donor site risk assessment in patients undergoing abdominal perforator flap breast reconstruction&#58; a proof of concept study,2014-11-00,J Reconstr Microsurg. 2014 Nov&#59;30(9)&#58;635-40. doi&#58; 10.1055/s-0034-1376400. Epub 2014 Jun 9,https://www.ncbi.nlm.nih.gov/pubmed/24911410,"BACKGROUND Morphomics are three-dimensional measurements of aspects of the human anatomy generated by computed tomographic (CT) imaging. The purpose of this study was to generate preliminary data on the efficacy of morphomics, as a potential risk stratification tool, in predicting abdominal donor site wound-healing complications in patients undergoing abdominal perforator flap breast reconstruction. PATIENTS & METHODS In total, 58 consecutive patients undergoing deep inferior epigastric perforator (DIEP) flap breast reconstruction were evaluated. Using preoperative CT scan data, we quantified patients&#39; body area, visceral and subcutaneous fat, fascia area, and body depth between T12 and L4. Associations between morphomic measures and complication rates were examined using t-tests and logistic regression. RESULTS Of the 58 patients, 11 (19&#37;) patients developed a wound dehiscence and 47 (81&#37;) patients healed their abdominal incision without complications. Patients with a dehiscence had a significantly higher body mass index (BMI) (34.32 vs. 29.26 kg/m<sup>2</sup>, p &#61; 0.014) than patients without a dehiscence. Multiple morphometric measures including higher visceral fat area (p &#61; 0.003) were significant predictors of abdominal donor site wound dehiscence. BMI (odds ratio [OR], 1.16&#59; 95&#37; confidence interval [CI], 1.03–1.32&#59; p &#61; 0.017) and visceral fat area (OR, 1.24&#59; 95&#37; CI, 1.08–1.42&#59; p &#61; 0.002) were independently significant predictors for wound dehiscence in the entire sample. Only visceral fat area retained its predictive ability in patients with a BMI &#62; 30 kg/m<sup>2</sup>. CONCLUSIONS Morphomic measurements correlate with the likelihood of developing postoperative donor site dehiscence after DIEP flap breast reconstruction. As a proof of concept study, this demonstrates that objective data obtained from CT scans may help in preoperatively assessing the risk for donor site wound healing complications in patients undergoing DIEP flap breast reconstruction."
Analytic morphomics corresponds to functional status in older patients,2014-11-00,J Surg Res. 2014 Nov&#59;192(1)&#58;19-26. doi&#58; 10.1016/j.jss.2014.06.011. Epub 2014 Jun 11,https://www.ncbi.nlm.nih.gov/pubmed/25015750,"BACKGROUND Older patients account for nearly half of the United States surgical volume, and age alone is insufficient to predict surgical fitness. Various metrics exist for risk stratification, but little work has been done to describe the association between measures. We aimed to determine whether analytic morphomics, a novel objective risk assessment tool, correlates with functional measures currently recommended in the preoperative evaluation of older patients. MATERIALS & METHODS We retrospectively identified 184 elective general surgery patients aged &#62;70 y with both a preoperative computed tomography scan and Vulnerable Elderly Surgical Pathways and outcomes Assessment within 90 d of surgery. We used analytic morphomics to calculate trunk muscle size (or total psoas area [TPA]) and univariate logistic regression to assess the relationship between TPA and domains of geriatric function mobility, basic and instrumental activities of daily living (ADLs), and cognitive ability. RESULTS Greater TPA was inversely correlated with impaired mobility (odds ratio [OR] &#61; 0.46, 95&#37; confidence interval [CI] 0.25-0.85, P &#61; 0.013). Greater TPA was associated with decreased odds of deficit in any basic ADLs (OR &#61; 0.36 per standard deviation unit increase in TPA, 95&#37; CI 0.15-0.87, P &#60; 0.03) and any instrumental ADLs (OR &#61; 0.53, 95&#37; CI 0.34-0.81&#59; P &#60; 0.005). Finally, patients with larger TPA were less likely to have cognitive difficulty assessed by Mini-Cog scale (OR &#61; 0.55, 95&#37; CI 0.35-0.86, P &#60;0.01). Controlling for age did not change results. CONCLUSIONS Older surgical candidates with greater trunk muscle size, or greater TPA, are less likely to have physical impairment, cognitive difficulty, or decreased ability to perform daily self-care. Further research linking these assessments to clinical outcomes is needed."
Paraspinous muscle as a predictor of surgical outcome,2014-11-00,J Surg Res. 2014 Nov&#59;192(1)&#58;76-81. doi&#58; 10.1016/j.jss.2014.05.057. Epub 2014 May 27.,https://www.ncbi.nlm.nih.gov/pubmed/25016439,"BACKGROUND Objective measures for preoperative risk assessment are needed to inform surgical risk stratification. Previous studies using preoperative imaging have shown that the psoas muscle is a significant predictor of postoperative outcomes. Because psoas measurements are not always available, additional trunk muscles should be identified as alternative measures of risk assessment. Our research assessed the relationship between paraspinous muscle area, psoas muscle area, and surgical outcomes. METHODS Using the Michigan Surgical Quality Collaborative database, we retrospectively identified 1309 surgical patients who had preoperative abdominal computerized tomography scans within 90 d of operation. Analytic morphomic techniques were used to measure the cross-sectional area of the paraspinous muscle at the T12 vertebral level. The primary outcome was 1-y mortality. Analyses were stratified by sex, and logistic regression was used to assess the relationship between muscle area and postoperative outcome. RESULTS The measurements of paraspinous muscle area at T12 were normally distributed. There was a strong correlation between paraspinous muscle area at T12 and total psoas area at L4 (r &#61; 0.72, P &#60;0.001). Paraspinous area was significantly associated with 1-y mortality in both females (odds ratio &#61; 0.70 per standard deviation increase in paraspinous area, 95&#37; confidence interval 0.50-0.99, P &#61; 0.046) and males (odds ratio &#61; 0.64, 95&#37; confidence interval 0.47-0.88, P &#61; 0.006). CONCLUSIONS Paraspinous muscle area correlates with psoas muscle area, and larger paraspinous muscle area is associated with lower mortality rates after surgery. This suggests that the paraspinous muscle may be an alternative to the psoas muscle in the context of objective measures of risk stratification."
Dorsal muscle group area and surgical outcomes in liver transplantation,2014-10-00,Clin Transplant. 2014 Oct&#59;28(10)&#58;1092-8. doi&#58; 10.1111/ctr.12422. Epub 2014 Aug 11.,https://www.ncbi.nlm.nih.gov/pubmed/25040933,"INTRODUCTION Better measures of liver transplant risk stratification are needed. Our previous work noted a strong relationship between psoas muscle area and survival following liver transplantation. The dorsal muscle group is easier to measure, but it is unclear if they are also correlated with surgical outcomes. METHODS Our study population included liver transplant recipients with a preoperative CT scan. Cross-sectional areas of the dorsal muscle group at the T12 vertebral level were measured. The primary outcomes for this study were one- and five-yr mortality and one-yr complications. The relationship between dorsal muscle group area and post-transplantation outcome was assessed using univariate and multivariate techniques. RESULTS Dorsal muscle group area measurements were strongly associated with psoas area (r &#61; 0.72&#59; p &#60; 0.001). Postoperative outcome was observed from 325 patients. Multivariate logistic regression revealed dorsal muscle group area to be a significant predictor of one-yr mortality (odds ratio [OR] &#61; 0.53, p &#61; 0.001), five-yr mortality (OR &#61; 0.53, p &#60; 0.001), and one-yr complications (OR &#61; 0.67, p &#61; 0.007). CONCLUSION Larger dorsal muscle group muscle size is associated with improved post-transplantation outcomes. The muscle is easier to measure and may represent a clinically relevant postoperative risk factor."
Development of a 10-year-old full body geometric dataset for computational modeling,2014-10-00,Ann Biomed Eng. 2014 Oct&#59;42(10)&#58;2143-55. doi&#58; 10.1007/s10439-014-1078-5. Epub 2014 Aug 13.,https://www.ncbi.nlm.nih.gov/pubmed/25118667,"The objective of this study was to create a computer-aided design (CAD) geometric dataset of a 10-year-old (10 YO) child. The study includes two phases of efforts. At Phase One, the 10 YO whole body CAD was developed from component computed tomography and magnetic resonance imaging scans of 12 pediatric subjects. Geometrical scaling methods were used to convert all component parts to the average size for a 10 YO child, based on available anthropometric data. Then the component surfaces were compiled and integrated into a complete body. The bony structures and flesh were adjusted as symmetrical to minimize the bias from a single subject while maintaining anthropometrical measurements. Internal organs including the liver, spleen, and kidney were further verified by literature data. At Phase Two, internal characteristics for the cervical spine disc, wrist, hand, pelvis, femur, and tibia were verified with data measured from additional 94 10 YO children. The CAD dataset developed through these processes was mostly within the corridor of one standard deviation (SD) of the mean. In conclusion, a geometric dataset for an average size 10 YO child was created. The dataset serves as a foundation to develop computational 10 YO whole body models for enhanced pediatric injury prevention."
Quantitative detection of cirrhosis&#58; towards the development of computer-assisted detection method,2014-10-00,J Digit Imaging. 2014 Oct&#59;27(5)&#58;601-9. doi&#58; 10.1007/s10278-014-9696-x.,https://www.ncbi.nlm.nih.gov/pubmed/24811859,"There are distinct morphologic features of cirrhosis on CT examinations; however, such impressions may be subtle or subjective. The purpose of this study is to build a computer-aided diagnosis (CAD) method to help radiologists with this diagnosis. One hundred sixty-seven abdominal CT examinations were randomly divided into training (n &#61; 88) and validation (n &#61; 79) sets. Livers were analyzed for morphological markers of cirrhosis and logistic regression models were created. Using the area under curve (AUC) for model performance, the best model had 0.89 for the training set and 0.85 for the validation set. For radiology reports, sensitivity of reporting cirrhosis was 0.45 and specificity 0.99. Using the predictive model adjunctively, radiologists&#39; sensitivity increased to 0.63 and specificity slightly decreased to 0.97. This study demonstrates that quantifying morphological features in livers may be utilized for diagnosing cirrhosis and for developing a CAD method for it."
